Station code,Location,State or province,Opened
MRB,Martinsburg,WV,1848
MAT,Mattoon,IL,1855
MAY,Maysville,KY,1918
MCB,McComb,MS,1901
MCK,McCook,NE,—
MCG,McGregor,TX,1904
MEM,Memphis,TN,1914
MDT,Mendota,IL,1888
MCD,Merced,CA,"1896, 1974"
MDN,Meriden,CT,1839
MEI,Meridian,MS,1906
MET,Iselin,NJ,1971
MIA,Miami,FL,1978
MBY,Middlebury,VT,2022
MID,Middletown,PA,1990
MKE,Milwaukee,WI,1965
MKA,Milwaukee,WI,2005
MIN,Mineola,TX,1996
MOT,Minot,ND,1910
MOD,Modesto,CA,1999
MNG,Montgomery,WV,—
MPR,Montpelier,VT,1943
MTR,Montreal,QC,—
MPK,Moorpark,CA,1992
MJY,Mount Joy,PA,—
MTP,Mount Pleasant,IA,—
MVW,Mount Vernon,WA,—
MYS,Mystic,CT,1858
NPV,Naperville,IL,1910
NDL,Needles,CA,1908
NBK,New Brunswick,NJ,1838
NBU,New Buffalo,MI,2009
NCR,New Carrollton,MD,1983
NHV,New Haven,CT,1920
STS,New Haven,CT,2002
NIB,New Iberia,LA,1900
NLC,New London,CT,"1848, 1852"
NOL,New Orleans,LA,1954
NRO,New Rochelle,NY,1987
NYP,New York,NY,1910
NYF,Syracuse,NY,2002
NRK,Newark,DE,1877
EWR,Newark,NJ,2001
NWK,Newark,NJ,1935
NBN,Newbern,TN,1992
NPN,Newport News,VA,2024
NEW,Newton,KS,1930
NFL,Niagara Falls,NY,2016
NFS,Niagara Falls,ON,1879
NLS,Niles,MI,1892
NFK,Norfolk,VA,2012
NOR,Norman,OK,1999
NSF,Raleigh,NC,—
PHN,Philadelphia,PA,1870s
NHT,Northampton,MA,2014
NRG,Northridge,CA,1994
OAC,Oakland,CA,2005
OKJ,Oakland,CA,1995
OKL,Oakville,ON,1967
OSD,Oceanside,CA,1886
OKE,Okeechobee,FL,1986
OKC,Oklahoma City,OK,1999
ORB,Old Orchard Beach,ME,2003
OSB,Old Saybrook,CT,1873
OLW,Lacey,WA,1993
OMA,Omaha,NE,1983
ONA,Ontario,CA,—
ORC,Oregon City,OR,2004
ORL,Orlando,FL,1926
OSC,Osceola,IA,1907
OTM,Ottumwa,IA,—
OXN,Oxnard,CA,1987
PAK,Palatka,FL,1909
PSN,Palm Springs,CA,1997
PAO,Paoli,PA,1893
PAR,Parkesburg,PA,—
PSC,Pasco,WA,1998
PRB,Paso Robles,CA,—
PVL,Pauls Valley,OK,1999
PTB,Petersburg,VA,1955
PHL,Philadelphia,PA,1933
PIC,Picayune,MS,—
PGH,Pittsburgh,PA,1903
